,frame;n_people,id_shopping,id_store,frame_date,frame_time
0,5;,1,1,16-10-2019,9:44:10.0
1,10;,1,1,16-10-2019,9:44:10.200000
2,15;,1,1,16-10-2019,9:44:10.400000
3,20;,1,1,16-10-2019,9:44:10.600000
4,25;,1,1,16-10-2019,9:44:10.800000
5,30;,1,1,16-10-2019,9:44:11.0
6,35;,1,1,16-10-2019,9:44:11.200000
7,40;,1,1,16-10-2019,9:44:11.400000
8,45;,1,1,16-10-2019,9:44:11.600000
9,50;16,1,1,16-10-2019,9:44:11.800000
10,55;18,1,1,16-10-2019,9:44:12.0
11,60;16,1,1,16-10-2019,9:44:12.200000
12,65;18,1,1,16-10-2019,9:44:12.400000
13,70;15,1,1,16-10-2019,9:44:12.600000
14,75;17,1,1,16-10-2019,9:44:12.800000
15,80;16,1,1,16-10-2019,9:44:13.0
16,85;16,1,1,16-10-2019,9:44:13.200000
17,90;16,1,1,16-10-2019,9:44:13.400000
18,95;18,1,1,16-10-2019,9:44:13.600000
19,100;21,1,1,16-10-2019,9:44:13.800000
20,105;2,1,1,16-10-2019,9:44:14.0
21,110;19,1,1,16-10-2019,9:44:14.200000
22,115;19,1,1,16-10-2019,9:44:14.400000
23,120;17,1,1,16-10-2019,9:44:14.600000
24,125;16,1,1,16-10-2019,9:44:14.800000
25,130;19,1,1,16-10-2019,9:44:15.0
26,135;19,1,1,16-10-2019,9:44:15.200000
27,140;2,1,1,16-10-2019,9:44:15.400000
28,145;2,1,1,16-10-2019,9:44:15.600000
29,150;18,1,1,16-10-2019,9:44:15.800000
30,155;21,1,1,16-10-2019,9:44:16.0
31,160;21,1,1,16-10-2019,9:44:16.200000
32,165;17,1,1,16-10-2019,9:44:16.400000
33,170;16,1,1,16-10-2019,9:44:16.600000
34,175;16,1,1,16-10-2019,9:44:16.800000
35,180;15,1,1,16-10-2019,9:44:17.0
36,185;14,1,1,16-10-2019,9:44:17.200000
37,190;21,1,1,16-10-2019,9:44:17.400000
38,195;19,1,1,16-10-2019,9:44:17.600000
39,200;2,1,1,16-10-2019,9:44:17.800000
40,205;21,1,1,16-10-2019,9:44:18.0
41,210;19,1,1,16-10-2019,9:44:18.200000
